name,n_views,pricing,amenities,number,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Le Brun,8,NA,Takes Reservations,09 54 00 10 47,95 rue Saint Honoré 75001 Paris France,Mon12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day)Closed now,12:00 PM - 3:30 PM7:00 PM - 12:00 AM (Next day)
Grenouilles,38,€,Offers TakeoutNo DeliveryAccepts Credit CardsModerate Noise,06 08 69 51 16,55 rue du Chevalier de la Barre 75018 Paris France,Mon9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 7:00 PMOpen now,9:00 AM - 6:00 PM
Alain Ducasse au Plaza Athénée,96,€€€€,Takes ReservationsNo DeliveryNo TakeoutPescatarian Options,01 53 67 65 00,25 avenue Montaigne 75008 Paris France,Mon7:30 PM - 10:15 PM,7:30 PM - 10:15 PM,7:30 PM - 10:15 PM,12:30 PM - 2:15 PM7:30 PM - 10:15 PM,12:30 PM - 2:15 PM7:30 PM - 10:15 PM,ClosedClosed now,Closed
Ober Mamma,256,€€,No ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 58 30 62 78,107 boulevard Richard Lenoir 75011 Paris France,Mon12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 3:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 3:30 PM7:00 PM - 10:30 PM
Bien Bien,67,€€,Takes ReservationsOffers DeliveryOffers TakeoutAccepts Credit Cards,01 48 24 14 42,30bis rue Bergère 75009 Paris France,Mon12:00 PM - 2:00 PM7:00 PM - 10:00 PM,12:00 PM - 2:30 PM7:00 PM - 10:00 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:00 PM,12:00 PM - 2:30 PM7:00 PM - 10:00 PM,7:00 PM - 10:30 PMClosed now,Closed
La Jacobine,281,Unclaimed,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 46 34 15 95,59-61 rue Saint-André des Arts 75006 Paris France,Mon6:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,12:00 PM - 11:30 PM
La Jacobine,281,€€€,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 46 34 15 95,59-61 rue Saint-André des Arts 75006 Paris France,Mon6:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,12:00 PM - 11:30 PM
Bouillon Chartier,3,Unclaimed,NA,01 45 49 19 00,59 boulevard du Montparnasse 75006 Paris France,Mon11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day)Closed now,11:30 AM - 12:00 AM (Next day)
Gemini,31,€€,Takes ReservationsOffers DeliveryOffers TakeoutAccepts Credit Cards,01 42 61 59 20,16 rue des Halles 75001 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:00 PM
Café de Paris,61,€€,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 60 84 26,3 rue de l'Échelle 75001 Paris France,Mon8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day),8:00 AM - 1:00 AM (Next day)Open now,8:00 AM - 1:00 AM (Next day)
Song Huong,51,Unclaimed,No ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 45 85 01 76,129 avenue de Choisy 75013 Paris France,MonClosed,10:30 AM - 10:30 PM,10:30 AM - 10:30 PM,10:30 AM - 10:30 PM,10:30 AM - 10:30 PM,10:30 AM - 10:30 PMOpen now,10:30 AM - 10:30 PM
Song Huong,51,€€,No ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 45 85 01 76,129 avenue de Choisy 75013 Paris France,MonClosed,10:30 AM - 10:30 PM,10:30 AM - 10:30 PM,10:30 AM - 10:30 PM,10:30 AM - 10:30 PM,10:30 AM - 10:30 PMOpen now,10:30 AM - 10:30 PM
L'Escargot,210,Unclaimed,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 36 83 51,38 rue Montorgueil 75001 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM
L'Escargot,210,€€€,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 36 83 51,38 rue Montorgueil 75001 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM
Le Café Laurent,17,€€€,No DeliveryNo TakeoutMany Vegetarian OptionsAccepts Credit Cards,01 43 29 03 33,Hôtel d'Aubusson 33 rue Dauphine 75006 Paris France,Mon7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day)Open now,7:00 AM - 12:00 AM (Next day)
Langousta,31,€€,Takes ReservationsOffers DeliveryOffers TakeoutAccepts Credit Cards,01 45 27 39 96,20 rue Singer 75016 Paris France,MonClosed,6:45 PM - 10:45 PM,6:45 PM - 11:00 PM,6:45 PM - 11:00 PM,6:45 PM - 11:00 PM,6:45 PM - 11:00 PMClosed now,Closed
Café Louise,59,€€,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 60 22 44,8 rue Croix des Petits Champs 75001 Paris France,Mon9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,9:30 AM - 10:30 AM,5:00 PM - 10:30 PMClosed now,Closed
Le Potager du Père Thierry,427,€€,Takes ReservationsNo DeliveryNo TakeoutVegan Options,01 53 28 26 20,16 rue des Trois Frères 75018 Paris France,Mon7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,7:00 PM - 12:00 AM (Next day),7:00 PM - 12:00 AM (Next day)Closed now,7:00 PM - 11:00 PM
Gambino,209,Unclaimed,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 42 60 12 70,6 rue Gomboust 75001 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PMClosed now,Closed
Gambino,209,€€,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 42 60 12 70,6 rue Gomboust 75001 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PMClosed now,Closed
LouLou,40,Unclaimed,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 60 41 96,107 rue de Rivoli 75001 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,ClosedClosed now,Closed
LouLou,40,€€€,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 60 41 96,107 rue de Rivoli 75001 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,ClosedClosed now,Closed
Clamato,84,Unclaimed,No ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 43 72 74 53,80 rue Charonne 75011 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM
Clamato,84,€€€,No ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 43 72 74 53,80 rue Charonne 75011 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM
Marcelle,10,Unclaimed,Takes ReservationsNo DeliveryAccepts Credit CardsGood for Groups,01 40 13 04 04,22 rue Montmartre 75001 Paris France,Mon9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 7:00 PMOpen now,9:00 AM - 7:00 PM
Marcelle,10,€€€,Takes ReservationsNo DeliveryAccepts Credit CardsGood for Groups,01 40 13 04 04,22 rue Montmartre 75001 Paris France,Mon9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 7:00 PMOpen now,9:00 AM - 7:00 PM
Joséphine chez Dumonet,118,€€€,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 45 48 52 40,117 rue du Cherche-Midi 75006 Paris France,Mon12:30 PM - 2:30 PM7:30 PM - 10:30 PM,12:30 PM - 2:30 PM7:30 PM - 10:30 PM,12:30 PM - 2:30 PM7:30 PM - 10:30 PM,12:30 PM - 2:30 PM7:30 PM - 10:30 PM,12:30 PM - 2:30 PM,ClosedClosed now,Closed
Le Porte Pot,133,€€,Takes ReservationsOffers TakeoutNo DeliveryMany Vegetarian Options,01 43 25 24 24,14 rue Boutebrie 75005 Paris France,MonClosed,6:30 PM - 12:00 AM (Next day),6:30 PM - 12:00 AM (Next day),6:30 PM - 12:00 AM (Next day),6:30 PM - 12:00 AM (Next day),12:00 PM - 2:00 PM6:30 PM - 12:00 AM (Next day)Closed now,Closed
Loup,56,€€€,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 36 73 23,44 rue du Louvre 75001 Paris France,Mon8:00 AM - 2:00 AM (Next day),8:00 AM - 2:00 AM (Next day),8:00 AM - 2:00 AM (Next day),8:00 AM - 2:00 AM (Next day),8:00 AM - 2:00 AM (Next day),8:00 AM - 2:00 AM (Next day)Open now,8:00 AM - 2:00 AM (Next day)
Comme Chez Soi,6,Unclaimed,Takes ReservationsNo TakeoutAccepts Credit CardsModerate Noise,01 40 47 83 29,19 rue de la Gaité 75014 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:30 PM
Comme Chez Soi,6,€€,Takes ReservationsNo TakeoutAccepts Credit CardsModerate Noise,01 40 47 83 29,19 rue de la Gaité 75014 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:30 PM
La Droguerie du Marais,214,Unclaimed,Offers TakeoutNo ReservationsNo DeliveryAccepts Credit Cards,Get Directions,56 rue des Rosiers 75004 Paris France,NA,NA,NA,NA,NA,NA,NA
La Droguerie du Marais,214,€,Offers TakeoutNo ReservationsNo DeliveryAccepts Credit Cards,Get Directions,56 rue des Rosiers 75004 Paris France,NA,NA,NA,NA,NA,NA,NA
Chungking Express,20,Unclaimed,Takes ReservationsOffers TakeoutNo DeliveryMany Vegetarian Options,09 82 36 03 17,5 rue de la Tour d'Auvergne 75009 Paris France,Mon7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:00 PM
Chungking Express,20,€€,Takes ReservationsOffers TakeoutNo DeliveryMany Vegetarian Options,09 82 36 03 17,5 rue de la Tour d'Auvergne 75009 Paris France,Mon7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:00 PM
Okuda,6,Unclaimed,No DeliveryNo TakeoutAccepts Credit CardsClassy,01 40 70 19 19,7 rue de la Trémoille 75008 Paris France,MonClosed,6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PM,12:00 PM - 1:30 PM6:00 PM - 9:30 PMClosed now,12:00 PM - 1:30 PM6:00 PM - 9:30 PM
La Maison du Dim Sum,45,€€,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 55 42 03 44,4 rue des Fossés Saint Jacques 75005 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,Closed
Aux Lyonnais,74,€€€,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 58 00 22 06,32 rue Saint-Marc 75002 Paris France,MonClosed,12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:30 PM - 10:00 PM,12:00 PM - 2:00 PM7:00 PM - 10:00 PM,7:00 PM - 10:00 PMClosed now,Closed
Ferdi,126,€€€,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,06 51 70 29 70,32 rue du Mont Thabor 75001 Paris France,Mon6:30 PM - 11:30 PM,6:30 PM - 11:30 PM,6:30 PM - 11:30 PM,6:30 PM - 11:30 PM,6:30 PM - 11:30 PM,1:00 PM - 4:00 PM7:00 PM - 11:30 PMClosed now,6:30 PM - 11:30 PM
L'Arpège,212,€€€€,Takes ReservationsNo DeliveryNo TakeoutPescatarian Options,01 47 05 09 06,84 rue de Varenne 75007 Paris France,Mon12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,12:30 PM - 2:30 PM7:00 PM - 10:30 PM,ClosedClosed now,Closed
Restaurant de la Tour,50,€€€,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 06 04 24,6 Rue Desaix 75015 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,ClosedClosed now,Closed
Le Grenier de Notre-Dame,103,€€,Takes ReservationsOffers TakeoutNo DeliveryVegan Options,01 43 29 98 29,18 rue de la Bucherie 75005 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM
Loulou,145,€€,Takes ReservationsOffers DeliveryOffers TakeoutAccepts Credit Cards,01 46 34 86 64,90 boulevard Saint-Germain 75005 Paris France,Mon8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,10:00 AM - 11:00 PMOpen now,10:00 AM - 10:30 PM
Tour d'Argent,144,€€€€,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 43 54 23 31,15 quai de la Tournelle 75005 Paris France,MonClosed,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PMClosed now,Closed
Iovine's,45,€€,Takes ReservationsOffers DeliveryOffers TakeoutMany Vegetarian Options,01 47 03 92 09,7 bis rue du Colonel Driant 75001 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PM,12:00 PM - 3:00 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:30 PM
Au Pied du Sacré Coeur,161,€€,Takes ReservationsOffers DeliveryOffers TakeoutVegan Options,01 46 06 15 26,85 rue Lamarck 75018 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 10:30 PM
Matamata Coffee Bar,85,€€,Offers TakeoutNo ReservationsNo DeliveryAccepts Credit Cards,01 71 39 44 58,58 rue d'Argout 75002 Paris France,Mon8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,9:30 AM - 5:30 PMOpen now,9:30 AM - 5:30 PM
Lion Sot,6,Unclaimed,Many Vegetarian OptionsTV,06 12 88 69 59,6 avenue René Coty 75014 Paris France,Mon12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PM,12:00 PM - 3:00 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 3:00 PM7:00 PM - 11:00 PM
Tire Bouchon,8,Unclaimed,Takes Reservations,01 43 26 39 11,47 rue Descartes 75005 Paris France,NA,NA,NA,NA,NA,NA,NA
Table,10,Unclaimed,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 43 12 26,3 rue Prague 75012 Paris France,Mon12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,ClosedClosed now,Closed
Table,10,€€€€,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 43 12 26,3 rue Prague 75012 Paris France,Mon12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,12:00 PM - 3:00 PM8:00 PM - 10:30 PM,ClosedClosed now,Closed
Boulettes,48,€€,Takes ReservationsOffers TakeoutNo DeliveryVegan Options,01 42 21 46 44,179 rue Saint-Denis 75002 Paris France,Mon11:30 AM - 4:00 PM,11:30 AM - 4:00 PM,11:30 AM - 4:00 PM,11:30 AM - 4:00 PM6:30 PM - 11:00 PM,11:30 AM - 4:00 PM6:30 PM - 11:00 PM,11:30 AM - 4:00 PMClosed now,Closed
Crêperie Saint Eustache,50,€€,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 40 28 40 39,2 rue Sauval 75001 Paris France,Mon12:00 PM - 3:30 PM,12:00 PM - 3:30 PM,12:00 PM - 3:30 PM,12:00 PM - 3:30 PM,12:00 PM - 3:30 PM,12:00 PM - 3:30 PMClosed now,Closed
Chez Georges,69,€€€,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 42 60 07 11,1 rue du Mail 75002 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PM,ClosedClosed now,Closed
Le Relais de l’Entrecôte,503,Unclaimed,No ReservationsNo DeliveryNo TakeoutVegan Options,01 49 52 07 17,15 rue Marbeuf 75008 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:30 PM
Le Relais de l’Entrecôte,503,€€€,No ReservationsNo DeliveryNo TakeoutVegan Options,01 49 52 07 17,15 rue Marbeuf 75008 Paris France,Mon12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:30 PMClosed now,12:00 PM - 2:30 PM7:00 PM - 11:30 PM
Enza & Famiglia Trattoria Pasta,41,€€,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,01 40 41 06 25,89 rue Saint-Honoré 75001 Paris France,Mon12:00 PM - 2:30 PM7:30 PM - 10:30 PM,12:00 PM - 2:30 PM7:30 PM - 10:30 PM,12:00 PM - 2:30 PM7:30 PM - 10:30 PM,12:00 PM - 2:30 PM7:30 PM - 10:30 PM,12:00 PM - 2:30 PM7:30 PM - 10:30 PM,12:00 PM - 2:30 PM7:30 PM - 10:30 PMClosed now,Closed
La Poule au Pot,109,€€€,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 36 32 96,9 rue Vauvilliers 75001 Paris France,Mon12:00 PM - 2:00 PM7:00 PM - 11:00 PM,12:00 PM - 2:00 PM7:00 PM - 11:00 PM,12:00 PM - 2:00 PM7:00 PM - 11:00 PM,12:00 PM - 2:00 PM7:00 PM - 11:00 PM,12:00 PM - 2:00 PM7:00 PM - 11:00 PM,12:00 PM - 2:00 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 2:00 PM7:00 PM - 11:00 PM
Odette,5,Unclaimed,NA,01 44 88 92 78,25 rue du Pont Neuf 75001 Paris France,NA,NA,NA,NA,NA,NA,NA
L'Acanthe,28,Unclaimed,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 40 27 85 28,22 rue Saint Martin 75004 Paris France,Mon8:00 AM - 10:30 PM,8:00 AM - 10:30 PM,8:00 AM - 10:30 PM,8:00 AM - 10:30 PM,8:00 AM - 10:30 PM,8:00 AM - 10:30 PMOpen now,8:00 AM - 10:30 PM
L'Acanthe,28,€€,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 40 27 85 28,22 rue Saint Martin 75004 Paris France,Mon8:00 AM - 10:30 PM,8:00 AM - 10:30 PM,8:00 AM - 10:30 PM,8:00 AM - 10:30 PM,8:00 AM - 10:30 PM,8:00 AM - 10:30 PMOpen now,8:00 AM - 10:30 PM
Le Clarence,5,NA,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 82 82 10 10,31 avenue Franklin Delano Roosevelt 75008 Paris France,MonClosed,12:30 PM - 2:00 PM7:30 PM - 9:30 PM,12:30 PM - 2:00 PM7:30 PM - 9:30 PM,12:30 PM - 2:00 PM7:30 PM - 9:30 PM,12:30 PM - 2:00 PM7:30 PM - 9:30 PM,12:30 PM - 2:00 PM7:30 PM - 9:30 PMClosed now,Closed
Le Relais du Louvre,12,Unclaimed,Takes ReservationsNo DeliveryAccepts Credit CardsOutdoor Seating,01 45 08 93 14,3 rue Saint-Honoré 75001 Paris France,Mon9:30 AM - 8:00 PM,9:30 AM - 8:00 PM,9:30 AM - 8:00 PM,9:30 AM - 8:00 PM,9:30 AM - 8:00 PM,9:30 AM - 8:00 PMOpen now,9:30 AM - 8:00 PM
Le Relais du Louvre,12,€€,Takes ReservationsNo DeliveryAccepts Credit CardsOutdoor Seating,01 45 08 93 14,3 rue Saint-Honoré 75001 Paris France,Mon9:30 AM - 8:00 PM,9:30 AM - 8:00 PM,9:30 AM - 8:00 PM,9:30 AM - 8:00 PM,9:30 AM - 8:00 PM,9:30 AM - 8:00 PMOpen now,9:30 AM - 8:00 PM
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
