title,n_views,pricing,amenities,number,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
L'îlot,57 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryAccepts Credit Cards,06 95 12 86 61,4 rue de la Corderie 75003 Paris France,MonClosed,6:30 PM - 10:30 PM,6:30 PM - 10:30 PM,6:30 PM - 10:30 PM,6:30 PM - 10:30 PMClosed now,12:30 PM - 2:30 PM6:30 PM - 10:30 PM,Closed
Le Petit Canard,191 reviews,€€ ,Takes ReservationsOffers TakeoutNo DeliveryLimited Vegetarian Options,01 49 70 07 95,19 rue Henri Monnier 75009 Paris France,Mon7:00 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:00 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:00 PM - 12:00 AM (Next day)Closed now,7:00 PM - 12:00 AM (Next day),7:00 PM - 12:00 AM (Next day)
Le Bistro du Périgord,341 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 29 67 49,71 rue Saint-Jacques 75005 Paris France,Mon7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PM,7:00 AM - 10:30 PMClosed now,9:00 AM - 10:30 PM,Closed
Le Cinq,136 reviews,€€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 49 52 71 54,31 avenue George V 75008 Paris France,Mon12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PMClosed now,12:30 PM - 2:00 PM7:00 PM - 9:30 PM,12:30 PM - 2:00 PM7:00 PM - 9:30 PM
Chez Fernand,194 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 25 18 55,9 rue Christine 75006 Paris France,Mon12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PMClosed now,12:30 PM - 2:30 PM7:30 PM - 11:00 PM,12:30 PM - 2:30 PM7:30 PM - 11:00 PM
Bouillon Chartier,955 reviews,€€ ,No ReservationsNo DeliveryNo TakeoutLimited Vegetarian Options,01 47 70 86 29,7 rue du Faubourg Montmartre 75009 Paris France,Mon11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day)Closed now,11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day)
Le Baratin,85 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 49 39 70,3 rue Jouye Rouve 75020 Paris France,MonClosed,12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day)Closed now,7:30 PM - 2:00 AM (Next day),Closed
Le Baratin,85 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 43 49 39 70,3 rue Jouye Rouve 75020 Paris France,MonClosed,12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 2:00 AM (Next day)Closed now,7:30 PM - 2:00 AM (Next day),Closed
La Fontaine de Mars,277 reviews,€€€ ,Takes ReservationsOffers TakeoutNo DeliveryMany Vegetarian Options,01 47 05 46 44,129 rue Saint-Dominique 75007 Paris France,Mon12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PMClosed now,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM
Beefbar,11 reviews,Unclaimed ,Takes ReservationsClassyDressyFull Bar,01 44 31 40 00,5 rue Marbeuf 75008 Paris France,Mon12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 11:00 PM,12:00 PM - 2:30 PM7:30 PM - 12:00 AM (Next day)Closed now,12:00 PM - 2:30 PM7:30 PM - 12:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 11:00 PM
